Model,F4x,lambda,ECS
BCC-CSM2-MR,6.143,-1.005,3.056
BCC-ESM1,6.059,-.9231,3.282
CAMS-CSM1-0,8.171,-1.790,2.282
CESM2-WACCM,6.553,-.6901,4.748
CESM2,6.766,-.6556,5.160
CNRM-CM6-1,7.451,-.7714,4.829
CNRM-ESM2-1,5.979,-.6275,4.764
CanESM5,7.399,-.6588,5.616
E3SM-1-0,6.745,-.6356,5.305
EC-Earth3-Veg,6.820,-.7921,4.305
EC-Earth3,6.387,-.7595,4.205
GFDL-CM4,6.529,-.8429,3.873
GFDL-ESM4,6.965,-1.280,2.721
GISS-E2-1-G,7.844,-1.443,2.719
GISS-E2-1-H,7.077,-1.137,3.112
HadGEM3-GC31-LL,6.969,-.6282,5.546
IPSL-CM6A-LR,6.848,-.7531,4.546
MCM-UA-1-0,7.583,-1.043,3.637
MIROC-ES2L,8.106,-1.515,2.676
MIROC6,7.272,-1.395,2.607
MPI-ESM1-2-HR,7.313,-1.229,2.976
MRI-ESM2-0,6.814,-1.081,3.151
NESM3,7.801,-.8356,4.668
NorESM2-LM,7.004,-1.380,2.537
SAM0-UNICON,8.006,-1.099,3.641
UKESM1-0-LL,7.254,-.6796,5.337
